translation,category,macrocategory,subcategory,mean,max,min,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
honey,Honey,Flavoring/Other,,23.1818181818182,78,1,,,,,24,24,6,,48,,,,,,,,36,,,,,,,,,,,,,,,4,10,4,,,,,,,,,,,,,,,
jellied eel,Fish,Meat,,45.5,98,1,,24,,,240,48,312,,,,,,,,,,,,,48,,,,96,226,,,,132,,,,,,,,,,,,,,,,,,,,
lamb,Meat,Meat,Other,20.2941176470588,85,1,,463.5,,,140,485.75,366.5,,,,,,,,,,,,,8,,,1,"1,506.75",85.25,3.5,,,4,,25,6.5,3,12,,,,,,6,,1,3,,,,,,
lamprey,Fish,Meat,,23.2857142857143,81,1,,1220,,,,420,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lard,Cooking oil,Flavoring/Other,,19.7272727272727,99,1,,,,,9.5,29.5,2,,,,,,,,,,,,,,,,,11,11,,,,,,4,,,9,,,,,,2,,1,,,,,,,
lark,Meat,Meat,"Bird, wild",41.6666666666667,190,0,,2679,,,1232,3229,60,,,,,,,,,,,,,0,,,,,,,,,24,,190,,,,,,,,,,,,,,,,,,
lemons,Fruit,Fruits and Vegetables,Citrus,106.428571428571,700,1,,2757,,,1702,4112,4778,,24,,,,,,,,7862,700,,87,,,,,1697,,,,40,,60,,175,140,,,,,,50,,,,,,,,,
mace,Spice,Flavoring/Other,,24.09140625,83,0.25,,26.2,,,22.9,42.14,41.3,,0.25,,,,,,,,76,9,,0.9,,,,71.84,37.5,,,,4.09,,1.3125,1,1.625,1.125,2,,,,,1.25,,,,,,,,,
millet gruel,Grain,Grain,,36,94,0,,178,,,60,204,456,,,,,,,,,,,,,0,,,,87,,,,,0,,,,,,,,,,,,,,,,,,,,
Moose,Meat,Meat,"venison, wild",18.0555555555556,74,1,,15.75,,,,10.75,54.25,,,,,,,,,,,,,1,,,,5,10,,,,,,,,,,,,,,,4.5,,,,,,,,,
Moose and pickeled game (probably also moose),Meat,Meat,"venison, wild",7.57142857142857,43,1,,28.87,,,,1,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,
mustard,Seasoning,Flavoring/Other,,11.1428571428571,66,1,,57,,,10,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
