pearl barley,Grain,Grain,,,662,,,432,789,408.5,,,,,,,,,,,,,0,,,,1808,48,,,,172,,,8,,,,,,,,,,48,,,,,,,
pearl barley groats,Grain,Grain,,,,,,,,,,,,,,,,,,10,,,,,,,45,10,,,,0,,4,2,,,,,,,,4,,,,,,,,,
peas,Grain,Grain,,,"1,994.5",,,1427,2195,3390,,,,,,,,,,,,,972,,,,6246,736,,,,"1,401.5",,,,,,,,,,,192,,432,,,,,,,
pepper,Spice,Flavoring/Other,,,217.59,,,134.25,247.8125,344.3,,4.25,,,,,,,,95.25,35.5,,5.75,,,,350.875,120.5,,,,1.625,,4.5,3.5,6,4.5,6,,,,,5.5,,,,,,,,,
perch,Fish,Meat,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled carp,Fish,Meat,preserved,,2388,,,,228,,,,,,,,,,,,,,0,,,,0,384,,,,0,,,,,,,,,,,,,,,,,,,,
Pickled deer,Meat,Meat,"venison, wild",,17.25,,,6.25,8,11,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled eel,Fish,Meat,,,18600,,,1572,1200,2640,,,,,,,,,,,,,24,,,,136,1248,,,,,,,,,,,96,96,,,,,,,,,,,,
pickled gudgeon,Fish,Meat,,,24,,,348,120,156,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
pickled herring,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled herring,Fish,Meat,preserved,,876,,,1560,3240,3924,,,,,,,,,,,,,,,,,1752,156,,,,,,48,,,,,,,,,,,,,,,,,,
pickled lamprey,Fish,Meat,,,192,,,264,300,60,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,
pickled pike,Fish,Meat,preserved,,1848,,,120,100,0,,,,,,,,,,,,,0,,,,1152,96,,,,0,,,,,,,,,,,,,,,,,,,,
pickled pike-perch,Fish,Meat,preserved,,12160,,,,2844,1920,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
pickled pork,Meat,Meat,pork,,,,,,1.5,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled salmon,Fish,Meat,preserved,,192,,,1080,,480,,,,,,,,,,,,,0,,,,1920,,,,,0,,,,,,,,,,,,,,,,,,,,
pickled sturgeon,Fish,Meat,,,,,,,,,,,,,,,,,,,,,60,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,
pickled wild cow,Meat,Meat,"beef, wild",,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pig,Meat,Meat,Pork,,59.75,,,26,53,60.25,,1,,,,,,,,,,,,,,2,74.75,23.5,2,,,0.5,,1,3,1,1,1,1,1,1,1,15,,26,1,1,1,1,,2,
pig's head,Meat,Meat,Pork,,190.5,,,142.5,145.5,115,,,,,,,,,,,,,0,,,,89,2,,,,,,9,,4,,,2,2,,,,,7,,,,,,,
pike,Fish,Meat,,,6322,,,4035,10578,7665,,,,,,,,,,,,,64,,,59,12547,3221,,,,285,,24,16,,,,,,,,172,,,,,,,,,
pike-perch,Fish,Meat,,,8,,,,,18,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
pinenuts,Seeds,Flavoring/Other,,,,,,,,,,,,,,,,,,21,,,0,,,,,18,,,,0,,,,,,,,,,,,,,,,,,,,
pistachios,Nuts,Flavoring/Other,,,,,,,,,,,,,,,,,,12,,,0,,,,64,11,,,,0,,,,,,,,,,,,,,,,,,,,
Plums,Fruit,Fruits and Vegetables,,,636,,,345,1134,2070,,,,,,,,,,395,,,10,,,,5740,551,,,,63,,16,,,,,,,,,55,,,,,,,,,
Pomagranates,Fruit,Fruits and Vegetables,,,381,,,65,112,65,,,,,,,,,,,,,0,,,,846,,,,,30,,75,18,,,,,,,,,,,,,,,,,
poppy seeds,Seeds,Flavoring/Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,92,42,,,,,,,,,,,,,,,
preserved barberries,Fruit,Fruits and Vegetables,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserved sturgeon,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,,,,,,,,,,,,,,,,,,,,,
quail,Meat,Meat,"Bird, wild",,3,,,649,1,,,,,,,,,,,,,,0,,,,26,13,,,,,,,,,,,,,,,,,,,,,,,,
Quark,Dairy,Dairy,,,340,,,312,216,199,,168,,,,,,,,,,,144,,,,,168,,,,0,,264,,168,,,,,,,,,,,,,,,,
rabbit,Meat,Meat,wild,,87,,,87,249,457,,,,,,,,,,,,,0,,,,692,109,,,,10,,19,9,,,,,,,,59,,,,,,,,,
raisins,Fruit,Fruits and Vegetables,preserved,,425.5,,,214.75,496.75,661.2,,24,,,,,,,,264,,,49,,,,859,369.5,,,,6,,26,42,90,61,10,,,,,24,,,,,,,,,
rice,Grain,Grain,,,520,,,547,837,666.5,,,,,,,,,,328,110,,6,,,,0,697,,,,88,,2,10,,,15,,,,,13,,,,,,,,,
rice flour,Grain,Grain,,,,,,,,,,,,,,,,,,,,,,,,,45,45,,,,11,,,,,,,,,,,,,,,,,,,,
roe deer,Meat,Meat,"venison, wild",,67,,,62.75,80.75,127.75,,,,,,,,,,,,,0,,,,51,3,,,,1,,4,,,,,,,,,8,,,1,,,,,,
