translation,category,macrocategory,subcategory,z1641,z1644,z1645,z1646,z1648,z1656,z1657,z1659,z1662,z1663,z1664,z1665,z1668,z1670,z1671,z1672,z1673,z1674,z1675,z1676,z1677,z1678,z1679,z1680,z1681,z1682,z1683,z1684,z1685,z1686,z1687,z1688,mean,max,min,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
dried maraena whitfish,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,2,0,,90,,,,0,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
dried mutton,Meat,Meat,other,0.970383373251054,-0.556777345307982,0.206803013971536,,,,,-1.51125279440738,,1.16127846307093,,,-0.270434710578162,,,,,,,,,,,,,,,,,,,,1.14285714285714,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
dried pike-perch,Fish,Meat,,,,,,,-0.648109977205406,0.852776285796586,-0.78455418293286,,-0.716332080069133,0.511665771477952,,1.94432993161622,-0.648109977205406,-0.511665771477952,,,,,,,,,,,,,,,,,,26.75,85,0,,492,,,158,288,,,,,,,,,,,,,,0,,,,7150,,,,,50,,,,,,,,,,,,,,,,,,,,
dried plums,Fruit,Fruits and Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,41,0,,,,,,,,,,,,,,,,,100,24,,0,,,,0,150,,,,6,,2,4,,,,,,,,,,,,,,,,,
Dried roe,Fish,Meat,,0.977102450312979,0.24263617893678,1.23941183294734,-1.40991293165967,,,,-1.4361438699231,,0.24263617893678,0.478714623307701,,-0.334444462858805,,,,,,,,,,,,,,,,,,,,7.85714285714286,49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785,,,,,,,,,,,,,,,,,,,,
dried salmon,Fish,Meat,,1.60797705561819,-0.215020187669874,,0.229043243387475,,,,-0.822685935432563,,,,,-0.799314175903229,,,,,,,,,,,,,,,,,,,,44.125,103,0,,61,,,37,8,0,,,,,,,,,,,,,0,,,,48,64,,,,62.25,,,,,,,,,,,,,,,,,,,,
dried sheep,Meat,Meat,other,,,,-0.887317095069994,,,,-0.8441365875809,,,,,-0.818736289057905,,,0.926264219471921,1.38346959288585,,,0.240456159351029,,,,,,,,,,,,,9.875,46,0,,8,,,148.25,,35.25,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
dried white bream,Fish,Meat,,1.37932303263099,0.167755503968635,1.5947128155043,0.43699273256027,,,,-1.39382042186285,,0.221602949686962,0.733153684011069,,-0.478413844651291,0.706229961151906,-1.2861255304262,,,,,,,,-1.12458319327122,,0.113908058250307,,,,,,-1.07073574755289,,194.454545454545,900,1,,,,,,,1080,,,,,,,,,,,,,23,,,,,,,,,401,,,,720,900,,,450,,,,,,,,,,,,
ducks,Meat,Meat,bird,-0.708813290259632,-0.666915169814958,-0.703692408871949,-0.706951151573202,0.259033292012334,,,0.160805476303155,0.408935456269945,-0.704157943543557,-0.691588507410155,,-0.704157943543557,1.68962133786214,0.339105255528822,1.28693384692167,-0.525392629646282,,-0.557980056658806,,,,-0.0356501551152049,,2.92096054426395,-0.432285695324784,,,,,-0.627810257399929,,44.3846153846154,112,0,,742,,,304,982,490,,,,,,,,,,,,,0,,,,4617,759,,,,41,,78,4,,,,,,,,10,,56,,,,,,12,
eggs,Eggs,Meat,,-0.585691684767847,,-0.0337899048904527,-0.329451572681914,,,,-1.03903957538142,,0.872905876336695,,,-0.684245574031668,,,,,,,,,,,,1.79931243541661,,,,,,,,"1,528.63157894737",7803,1,,104832,,,74731,117328,115500,,2085,,,,,,,,,,,1874,,,2407,130298,30807,,,,1500,,5158,2257,4293,400,,330,,,,1452,,7803,600,,,,,180,
European white fish,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2222222222222,144,0,,144,,,,268,288,,,,,,,,,,,,,0,,,,96,,,,,168,,,,,,,,,,,,,144,,,,,,,
fattened pig,Meat,Meat,Pork,1.94921806317126,0.483139519931339,-0.216579784796807,-0.0499799503377247,,,,-1.38277862601038,,-0.649739354390421,1.28281872533493,,-0.649739354390421,,,,,,,,,,-0.716379288174054,,-0.0499799503377247,,,,,,,,1.14285714285714,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
fieldfare,Meat,Meat,"Bird, wild",,,,,,,,,,-0.577350269189626,1.15470053837925,,-0.577350269189626,,,,,,,,,,,,,,,,,,,,32.2,81,0,,729,,,3,197,3180,,,,,,,,,,,,,0,,,,1423,762,,,,2,,,,,,,,,,,20,,40,,,,,,,
figs,Fruit,Fruits and Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4285714285714,65,1,,,,,,,,,,,,,,,,,,,,,,,,0,46,,,,0,,,,,,,,,,,,,,,,,,,,
